"COUNTRY","Country","VARIABLE","Variable","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"FRA","France","T-ACCI-INJ","Road injured","2001","2001","PER","Persons","0","Units",,,153505,,
"FRA","France","T-ACCI-INJ","Road injured","2002","2002","PER","Persons","0","Units",,,137426,,
"FRA","France","T-ACCI-INJ","Road injured","2003","2003","PER","Persons","0","Units",,,115602,,
"FRA","France","T-ACCI-INJ","Road injured","2004","2004","PER","Persons","0","Units",,,108366,,
"FRA","France","T-ACCI-INJ","Road injured","2005","2005","PER","Persons","0","Units",,,108076,,
"FRA","France","T-ACCI-INJ","Road injured","2006","2006","PER","Persons","0","Units",,,102125,,
"FRA","France","T-ACCI-INJ","Road injured","2007","2007","PER","Persons","0","Units",,,103201,,
"FRA","France","T-ACCI-INJ","Road injured","2008","2008","PER","Persons","0","Units",,,93798,,
"FRA","France","T-ACCI-INJ","Road injured","2009","2009","PER","Persons","0","Units",,,90934,,
"FRA","France","T-ACCI-INJ","Road injured","2010","2010","PER","Persons","0","Units",,,84461,,
"FRA","France","T-ACCI-INJ","Road injured","2011","2011","PER","Persons","0","Units",,,81251,,
"FRA","France","T-ACCI-INJ","Road injured","2012","2012","PER","Persons","0","Units",,,75851,,
"FRA","France","T-ACCI-INJ","Road injured","2013","2013","PER","Persons","0","Units",,,70607,,
"FRA","France","T-ACCI-INJ","Road injured","2014","2014","PER","Persons","0","Units",,,73048,,
"FRA","France","T-ACCI-INJ","Road injured","2015","2015","PER","Persons","0","Units",,,70802,,
"FRA","France","T-ACCI-INJ","Road injured","2016","2016","PER","Persons","0","Units",,,72645,,
"FRA","France","T-ACCI-INJ","Road injured","2017","2017","PER","Persons","0","Units",,,73384,,
"FRA","France","T-ACCI-INJ","Road injured","2018","2018","PER","Persons","0","Units",,,69887,,
"FRA","France","T-ACCI-INJ","Road injured","2019","2019","PER","Persons","0","Units",,,70490,,
"FRA","France","T-ACCI-INJ","Road injured","2020","2020","PER","Persons","0","Units",,,55836,,
"FRA","France","T-ACCI-INJ","Road injured","2021","2021","PER","Persons","0","Units",,,67057,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2000","2000","PER","Persons","0","Units",,,11887,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2001","2001","PER","Persons","0","Units",,,12951,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2002","2002","PER","Persons","0","Units",,,14198,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2003","2003","PER","Persons","0","Units",,,16945,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2004","2004","PER","Persons","0","Units",,,18997,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2005","2005","PER","Persons","0","Units",,,14572,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2006","2006","PER","Persons","0","Units",,,16337,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2007","2007","PER","Persons","0","Units",,,16330,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2008","2008","PER","Persons","0","Units",,,12623,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2009","2009","PER","Persons","0","Units",,,12285,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2010","2010","PER","Persons","0","Units",,,10454,,
"SVN","Slovenia","T-ACCI-CAS","Road casualties (injured + killed)","2011","2011","PER","Persons","0","Units",,,9814,,
